JOBID    PARTITION  NAME                                   USER              TIME_LEFT    TIME_LIMIT   START_TIME           ST  NODES  CPUS  NODELIST(REASON)
2013517  ai         JupiterNotebook                        ckoksal20         20:41:13     1-00:00:00   2020-11-26T16:47:18  R   1      4     ai01
2013476  mid        jupyter_job                            vaydingul20       20:25:37     1-00:00:00   2020-11-26T16:31:42  R   1      2     ai08
2013271  mid        detectron                              gtanriver19       19:49:51     1-00:00:00   2020-11-26T15:55:56  R   1      20    ai12
2013348  ai         commands5                              zabali16          19:47:39     1-00:00:00   2020-11-26T15:53:44  R   1      1     ai01
2012850  mid        lammps_tst                             szarepakzad18     19:42:48     1-00:00:00   2020-11-26T15:48:53  R   1      10    be08
2013205  cosmos     CO2_CH4                                saydin20          27-18:55:47  28-00:00:00  2020-11-26T15:01:52  R   1      1     ke01
2013203  ai         commands4                              zabali16          18:55:24     1-00:00:00   2020-11-26T15:01:29  R   1      1     ai08
2013201  ai         commands3                              zabali16          18:54:00     1-00:00:00   2020-11-26T15:00:05  R   1      1     ai08
2013181  ai         commands2                              zabali16          18:44:59     1-00:00:00   2020-11-26T14:51:04  R   1      1     ai08
2013126  ai         commands1                              zabali16          18:22:46     1-00:00:00   2020-11-26T14:28:51  R   1      1     ai08
2013091  ai         intphys                                ikesen16          1-06:02:52   1-12:00:00   2020-11-26T14:08:57  R   1      18    ai09
2012849  mid        lammps_tst                             szarepakzad18     17:41:16     1-00:00:00   2020-11-26T13:47:21  R   1      10    it04
2013032  cosmos     TS5                                    phaslak           3-16:58:39   4-00:00:00   2020-11-26T13:04:44  R   1      1     ke01
2012848  mid        lammps_tst                             szarepakzad18     16:49:48     1-00:00:00   2020-11-26T12:55:53  R   1      10    be05
2012847  mid        lammps_tst                             szarepakzad18     16:33:47     1-00:00:00   2020-11-26T12:39:52  R   1      10    be01
2012846  mid        lammps_tst                             szarepakzad18     16:33:16     1-00:00:00   2020-11-26T12:39:21  R   1      10    it04
2012845  mid        lammps_tst                             szarepakzad18     16:10:06     1-00:00:00   2020-11-26T12:16:11  R   1      10    be04
2012965  long       dene1                                  eyurtsev          6-15:41:46   7-00:00:00   2020-11-26T11:47:51  R   1      6     it03
2012961  ai         svg_orig_skip                          kakan20           3-06:46:51   3-15:31:00   2020-11-26T11:21:56  R   1      20    ai13
2012844  mid        lammps_tst                             szarepakzad18     14:08:40     1-00:00:00   2020-11-26T10:14:45  R   1      10    be12
